,Jenis Barang,Nama Barang,Stok,,,,,,,,,,,,,,
,,,Lemari Kaca,Lemari,Rak A,Rak B,Rak C,Rak D,Rak E,Rak F,Rak G,Lantai,Total,,MO,Gudang,Total
RJ45COMMSCOPE Crimmping tool Cat 6,RJ45,COMMSCOPE Crimmping tool Cat 6,,1,,,,,,,,,1,,,,
RJ45RJ45 BELDEN,RJ45,RJ45 BELDEN,,1,,,,,,,,,1,,,,
RJ45RJ45 COMMSCOPE,RJ45,RJ45 COMMSCOPE,,2,,,,,,,,,2,,,,
RJ45RJ45 PANDUIT,RJ45,RJ45 PANDUIT,,1,,,,,,,,,1,,,,
RouterTP-LINK Wireless N Router 300Mbps TL-WR841HP,Router,TP-LINK Wireless N Router 300Mbps TL-WR841HP,,1,,,2,,,,,,3,,,,
SenterSenter JOINWIT JW3105A Visual Fault Locator,Senter,Senter JOINWIT JW3105A Visual Fault Locator,1,,,,,,,,,,1,,,,
SFPCISCO SFP Modules,SFP,CISCO SFP Modules,,42,,7,,,,,,,49,,,,
SpeakerLOGITECH Stereo Headset H111,Speaker,LOGITECH Stereo Headset H111,,,1,,,,,,,,1,,,,
SpeakerMIFA K3 Soundbar,Speaker,MIFA K3 Soundbar,,,2,,,,,,,,2,,,,
SSDKINGSTON SSD,SSD,KINGSTON SSD,,2,,,,,,,,,2,,,,
SSDSAMSUNG SSD 870 EVO 500GB,SSD,SAMSUNG SSD 870 EVO 500GB,,1,,,,,,,,,1,,,,
Stationary3M PE Foam Tape 24mm X 4M,Stationary,3M PE Foam Tape 24mm X 4M,,,,,,,,,,,,,,,
Stationary3M Tape,Stationary,3M Tape,,1,,,,,,,,,1,,,,
StationaryALKALINE Battery AA,Stationary,ALKALINE Battery AA,,1,,,,,,,,,1,,,,
StationaryALKALINE Battery AAA,Stationary,ALKALINE Battery AAA,,6,,,,,,,,,6,,,,
StationaryENERGIZER Battery AA,Stationary,ENERGIZER Battery AA,,6,,,,,,,,,6,,,,
StationaryENERGIZER Battery AAA,Stationary,ENERGIZER Battery AAA,,2,,,,,,,,,2,,,,
StationaryFacial Tissue,Stationary,Facial Tissue,,8,,,,,,,,,8,,,,
StationaryGP Battery A23,Stationary,GP Battery A23,,7,,,,,,,,,7,,,,
StationaryJoyko Pen Gel GP-265Q Black,Stationary,Joyko Pen Gel GP-265Q Black,,34,,,,,,,,,34,,,,
StationaryJoyko Pen Gel GP-265Q Blue,Stationary,Joyko Pen Gel GP-265Q Blue,,2,,,,,,,,,2,,,,
StationaryMasking Tape 2 in,Stationary,Masking Tape 2 in,,1,,,,,,,,,1,,,,
StationaryNACHI Double Tape 12mm - 10yard,Stationary,NACHI Double Tape 12mm - 10yard,,3,,,,,,,,,3,,,,
StationaryPermanent Marker Black,Stationary,Permanent Marker Black,,5,,,,,,,,,5,,,,
StationaryPermanent Marker Blue,Stationary,Permanent Marker Blue,,1,,,,,,,,,1,,,,
StationarySticky Note 51 X 38 mm,Stationary,Sticky Note 51 X 38 mm,,26,,,,,,,,,26,,,,
StationarySticky Note 76 X 51 mm,Stationary,Sticky Note 76 X 51 mm,,1,,,,,,,,,1,,,,
StationarySticky Note 76 X 76 mm,Stationary,Sticky Note 76 X 76 mm,,5,,,,,,,,,5,,,,
StationaryTransparent Tape 1 in,Stationary,Transparent Tape 1 in,,2,,,,,,,,,2,,,,
StationaryTransparent Tape 2 in,Stationary,Transparent Tape 2 in,,2,,,,,,,,,2,,,,
StationaryV-TEC Triangle Paper Clip no 3,Stationary,V-TEC Triangle Paper Clip no 3,,9,,,,,,,,,9,,,,
StationaryZEBRA Pen 4C,Stationary,ZEBRA Pen 4C,,2,,,,,,,,,2,,,,
StationaryNachi Double Foam Tape 24mm X 4M,Stationary,Nachi Double Foam Tape 24mm X 4M,,2,,,,,,,,,2,,,,
Stop KontakAPC ProtectNet Surge,Stop Kontak,APC ProtectNet Surge,,,,39,,,,,,,39,,,,
Stop KontakBROCO Kepala Stop Kontak (Steker),Stop Kontak,BROCO Kepala Stop Kontak (Steker),,,10,,,,,,,,10,,,,
Stop KontakPHILIPS 4 Ways Power Extension With USB Charging,Stop Kontak,PHILIPS 4 Ways Power Extension With USB Charging,,,,,,,,,,,,,,,
Stop KontakStop Kontak Krista Masko,Stop Kontak,Stop Kontak Krista Masko,,,50,,,,,,,,50,,,,
Stop KontakUTICON Multi Outlet 3M - 6 Socket,Stop Kontak,UTICON Multi Outlet 3M - 6 Socket,,,,,,,,,,,,,,,
Stop KontakUTICON Multi Outlet 5M - 6 Socket,Stop Kontak,UTICON Multi Outlet 5M - 6 Socket,1,,,,,,,,,,1,,,,
SwitchCISCO Catalyst 1000 Series Switches,Switch,CISCO Catalyst 1000 Series Switches,,,,,,,,,,,,,,,
SwitchCISCO Catalyst 9200 Series Switches,Switch,CISCO Catalyst 9200 Series Switches,,,,,,5,,,,,5,,,,
SwitchTP-LINK 24-Port Gigabit Desktop/Rackmount Switch,Switch,TP-LINK 24-Port Gigabit Desktop/Rackmount Switch,,1,,,,,,,,,1,,,,
SwitchTP-LINK 8 Port 10/100Mbps Desktop Switch,Switch,TP-LINK 8 Port 10/100Mbps Desktop Switch,,,,,,,,,,,,,,,
TCHP Elite t655 Thin Client,TC,HP Elite t655 Thin Client,,1,,,,,,,,,1,,,,
Trigger RadarHIKVISION Capture-trigger Radar (Anti Fault),Trigger Radar,HIKVISION Capture-trigger Radar (Anti Fault),2,,,,,,,,,,2,,,,
TripodTAKARA Lightweight tripod for DSLR camera or smartphone (TAKARA ECO-196A),Tripod,TAKARA Lightweight tripod for DSLR camera or smartphone (TAKARA ECO-196A),1,,,,,,,,,,1,,,,
UPSAPC Smart UPS 1KVA 230V,UPS,APC Smart UPS 1KVA 230V,,,,,,,,,,1,1,,,,
UPSAPC UPS,UPS,APC UPS,,,,,,,,,,,,,,,
UPSICA UPS,UPS,ICA UPS,,,1,,,,,,,,1,,,,
USB AdapterTP-LINK 150Mbps Wireless N Nano USB Adapter,USB Adapter,TP-LINK 150Mbps Wireless N Nano USB Adapter,,1,,,,,,,,,1,,,,
VGA ExtenderVGA Signal Extender 60M,VGA Extender,VGA Signal Extender 60M,1,,,,,,,,,,1,,,,
Video ConferenceCISCO Table Microphone,Video Conference,CISCO Table Microphone,,2,,,,,,,,,2,,,,
Video ConferenceCISCO Telepresence Table Microphone 20,Video Conference,CISCO Telepresence Table Microphone 20,,2,,,,,,,,,2,,,,
Video ConferenceCLEAR ONE Group Speaker,Video Conference,CLEAR ONE Group Speaker,,,1,,,,,,,,1,,,,
Video ConferenceLOGITECH Expansion Microphone,Video Conference,LOGITECH Expansion Microphone,,3,,,,,,,,,3,,,,
Video ConferenceLOGITECH Group,Video Conference,LOGITECH Group,,,,,,,,,,,,,,,
Video ConferenceLOGITECH CONNECT,Video Conference,LOGITECH CONNECT,,1,,,,,,,,,1,,,,
"SwitchCISCO Catalyst 1300 24-Port GE, PoE, 4x1G SFP",Switch,"CISCO Catalyst 1300 24-Port GE, PoE, 4x1G SFP",,,,,,1,,,,,1,,,,
