,Jenis Barang,Nama Barang,Stok,,,,,,,,,,,,,,
,,,Lemari Kaca,Lemari,Rak A,Rak B,Rak C,Rak D,Rak E,Rak F,Rak G,Lantai,Total,,MO,Gudang,Total
HDMI SwitcherVENTION HDMI BI-DIRECTION Switcher,HDMI Switcher,VENTION HDMI BI-DIRECTION Switcher,,,,,,,,,,,,,,,
Imaging DrumHP 120A Original Laser Imaging Drum,Imaging Drum,HP 120A Original Laser Imaging Drum,,,,,,,,1,,,1,,,,
IP-PhoneYEALINK Classic IP Phone SIP-T31P,IP-Phone,YEALINK Classic IP Phone SIP-T31P,,,,,,,,,,,,,,,
IP-PhoneYEALINK Classic IP Phone SIP-T33G,IP-Phone,YEALINK Classic IP Phone SIP-T33G,,,,,,8,,,,,8,,,,
IP-PhoneYEALINK Classic IP Phone SIP-T21P E2,IP-Phone,YEALINK Classic IP Phone SIP-T21P E2,,,,,,,,,,,,,,,
Jack ModulePANDUIT Mini-com tx6 Plus Jack Module,Jack Module,PANDUIT Mini-com tx6 Plus Jack Module,,3,,,227,,,,,,230,,,,
KabelBAFO Kabel HDMI 10m,Kabel,BAFO Kabel HDMI 10m,,,2,,,,,,,,2,,,,
KabelBAFO Kabel HDMI 5m,Kabel,BAFO Kabel HDMI 5m,,,2,,,,,,,,2,,,,
KabelKabel DP,Kabel,Kabel DP,3,,,,,,,,,,3,,,,
KabelKabel HDMI,Kabel,Kabel HDMI,3,,,,,,,,,,3,,,,
KabelKabel Power,Kabel,Kabel Power,4,,,,,,,,,,4,,,,
KabelKabel VGA,Kabel,Kabel VGA,4,,,,,,,,,,4,,,,
KabelPX Super High Speed HDMI Cable With Ethernet 15m,Kabel,PX Super High Speed HDMI Cable With Ethernet 15m,,,1,,,,,,,,1,,,,
KeyboardHP Keyboard,Keyboard,HP Keyboard,,,,,,,,,,,,,,,
KeyboardLOGITECH Keyboard K120,Keyboard,LOGITECH Keyboard K120,,1,,,,,8,,,,9,,,,
Keyboard MouseLOGITECH Silent Wireless Combo,Keyboard Mouse,LOGITECH Silent Wireless Combo,,2,,,,,6,,,,8,,,,
KVMATEN 8-Port PS/2-USB VGA KVM Switch,KVM,ATEN 8-Port PS/2-USB VGA KVM Switch,,,,1,,,,,,,1,,,,
Lain-lainAksesoris Rack Mount CISCO,Lain-lain,Aksesoris Rack Mount CISCO,,1,,,,,,,,,1,,,,
